date,market,symbol,close,source
2008-06-17,NASDAQ,^IXIC,2457.72998,Yahoo Finance via yfinance
2008-06-17,NIKKEI225,^N225,14348.37012,Yahoo Finance via yfinance
2008-06-17,SP500,^GSPC,1350.930054,Yahoo Finance via yfinance
2008-06-17,VIX,^VIX,21.12999916,Yahoo Finance via yfinance
2008-06-18,DAX,^GDAXI,6728.910156,Yahoo Finance via yfinance
2008-06-18,DOW,^DJI,12029.05957,Yahoo Finance via yfinance
2008-06-18,FTSE100,^FTSE,5756.899902,Yahoo Finance via yfinance
2008-06-18,HANGSENG,^HSI,23325.80078,Yahoo Finance via yfinance
2008-06-18,NASDAQ,^IXIC,2429.709961,Yahoo Finance via yfinance
2008-06-18,NIKKEI225,^N225,14452.82031,Yahoo Finance via yfinance
2008-06-18,SP500,^GSPC,1337.810059,Yahoo Finance via yfinance
2008-06-18,VIX,^VIX,22.23999977,Yahoo Finance via yfinance
2008-06-19,DAX,^GDAXI,6721.169922,Yahoo Finance via yfinance
2008-06-19,DOW,^DJI,12063.08984,Yahoo Finance via yfinance
2008-06-19,FTSE100,^FTSE,5708.399902,Yahoo Finance via yfinance
2008-06-19,HANGSENG,^HSI,22797.60938,Yahoo Finance via yfinance
2008-06-19,NASDAQ,^IXIC,2462.060059,Yahoo Finance via yfinance
2008-06-19,NIKKEI225,^N225,14130.16992,Yahoo Finance via yfinance
2008-06-19,SP500,^GSPC,1342.829956,Yahoo Finance via yfinance
2008-06-19,VIX,^VIX,21.57999992,Yahoo Finance via yfinance
2008-06-20,DAX,^GDAXI,6578.439941,Yahoo Finance via yfinance
2008-06-20,DOW,^DJI,11842.69043,Yahoo Finance via yfinance
2008-06-20,FTSE100,^FTSE,5620.799805,Yahoo Finance via yfinance
2008-06-20,HANGSENG,^HSI,22745.59961,Yahoo Finance via yfinance
2008-06-20,NASDAQ,^IXIC,2406.090088,Yahoo Finance via yfinance
2008-06-20,NIKKEI225,^N225,13942.08008,Yahoo Finance via yfinance
2008-06-20,SP500,^GSPC,1317.930054,Yahoo Finance via yfinance
2008-06-20,VIX,^VIX,22.87000084,Yahoo Finance via yfinance
2008-06-23,DAX,^GDAXI,6589.459961,Yahoo Finance via yfinance
2008-06-23,DOW,^DJI,11842.36035,Yahoo Finance via yfinance
2008-06-23,FTSE100,^FTSE,5667.200195,Yahoo Finance via yfinance
2008-06-23,HANGSENG,^HSI,22714.96094,Yahoo Finance via yfinance
2008-06-23,NASDAQ,^IXIC,2385.73999,Yahoo Finance via yfinance
2008-06-23,NIKKEI225,^N225,13857.46973,Yahoo Finance via yfinance
2008-06-23,SP500,^GSPC,1318,Yahoo Finance via yfinance
2008-06-23,VIX,^VIX,22.63999939,Yahoo Finance via yfinance
2008-06-24,DAX,^GDAXI,6536.060059,Yahoo Finance via yfinance
2008-06-24,DOW,^DJI,11807.42969,Yahoo Finance via yfinance
2008-06-24,FTSE100,^FTSE,5634.700195,Yahoo Finance via yfinance
